"","pos_XY","posX","posY","orientation","rounded_orient","00:0f:a3:39:e1:c0","00:14:bf:3b:c7:c6","00:14:bf:b1:97:81","00:14:bf:b1:97:8a","00:14:bf:b1:97:8d","00:14:bf:b1:97:90"
"0-0","0-0",0,0,0,0,-53.4660633484163,-66.28391959799,-64.4815340909091,-38.7696267696268,-65.9256559766764,-56.2868217054264
"0-1","0-1",0,1,0.7,0,-52.905574516496,-66.1766965428937,-65.7272727272727,-39.73,-65.4956395348837,-58.0311688311688
"0-10","0-10",0,10,0.9,0,-55.2596810933941,-65.058583106267,-66.4005641748942,-45.4342928660826,-65.7529411764706,-52.0877419354839
"0-11","0-11",0,11,0.4,0,-54.1706484641638,-67.9675675675676,-69.0187165775401,-47.9364461738003,-66.568281938326,-55.2079081632653
"0-12","0-12",0,12,0.2,0,-54.45,-68.1350267379679,-70.8799472295514,-45.5977443609023,-68.2769461077844,-53.4447268106734
"0-13","0-13",0,13,0.1,0,-54.8410896708286,-70.8252551020408,-72.2002688172043,-45.4215938303342,-68.5278195488722,-55.1234096692112
"0-2","0-2",0,2,0.3,0,-55.8866213151927,-62.1386392811297,-62.1279411764706,-43.6575,-62.7634560906516,-55.1694915254237
"0-3","0-3",0,3,0.2,0,-55.5431818181818,-63.2766798418972,-55.9944134078212,-41.1115241635688,-62.1220196353436,-54.3674540682415
"0-4","0-4",0,4,0.5,0,-52.0466439135381,-64.2603773584906,-59.3260273972603,-42.5580182529335,-62.6680555555556,-54.0702210663199
"0-7","0-7",0,7,0.3,0,-56.0840909090909,-64.365308804205,-64.2407132243685,-45.8099273607748,-54.5422535211268,-57.9907284768212
"0-8","0-8",0,8,0.7,0,-52.8668941979522,-66.1170928667564,-63.5223665223665,-47.9864698646986,-54.7674094707521,-55.0458115183246
"0-9","0-9",0,9,0.3,0,-50.3068181818182,-66.3424124513619,-65.3289855072464,-47.3783439490446,-62.3454810495627,-53.6499372647428
"1-0","1-0",1,0,0,0,-50.9204545454545,-63.2389853137517,-67.2105263157895,-36.5804020100502,-65.1385281385281,-54.9747155499368
"1-1","1-1",1,1,0.4,0,-54.7508532423208,-63.5651041666667,-65.7366984993179,-39.1823899371069,-65.8311688311688,-55.1050632911392
"1-10","1-10",1,10,0.1,0,-54.6200227531286,-67.5152625152625,-70.9944367176634,-48.8615960099751,-65.4963503649635,-52.8516687268232
"1-11","1-11",1,11,0.9,0,-54.2306818181818,-66.8034825870647,-69.39,-47.3979193758127,-64.5884955752212,-51.9004914004914
"1-12","1-12",1,12,359.9,0,-54.1488636363636,-69.2477987421384,-70.7279102384292,-46.1368286445013,-68.4442836468886,-50.6340852130326
"1-13","1-13",1,13,0.7,0,-57.3651877133106,-71.098643649815,-74.2282157676349,-45.3495518565941,-69.098820058997,-46.8077403245943
"1-2","1-2",1,2,0.2,0,-56.9521094640821,-64.1371794871795,-60.0430555555556,-39.4290953545232,-63.7543103448276,-56.6311787072243
"1-3","1-3",1,3,0.2,0,-54.4840546697039,-65.0778364116095,-55.5702479338843,-39.6698911729141,-59.5263157894737,-58.2963446475196
"1-4","1-4",1,4,0.8,0,-52.5555555555556,-63.6470588235294,-59.9573257467994,-44.54875,-60.8536231884058,-56.4852941176471
"1-5","1-5",1,5,0.3,0,-52.5875,-66.033462033462,-63.8861671469741,-40.3292231812577,-62.8436578171091,-56.3364485981308
"1-6","1-6",1,6,0.6,0,-50.1520998864926,-65.6454545454545,-63.2134831460674,-46.6172539489672,-61.1540740740741,-54.4529262086514
"1-7","1-7",1,7,0.1,0,-53.0658342792281,-66.2447368421053,-64.5557184750733,-47.3592964824121,-51.8660968660969,-52.2820181112548
"1-8","1-8",1,8,0.7,0,-52.9013605442177,-65.9670781893004,-63.3967065868263,-48.5788804071247,-52.5625879043601,-53.4709595959596
"1-9","1-9",1,9,0.5,0,-52.2806818181818,-65.6749024707412,-64.3828238719068,-46.830164765526,-63.7503714710253,-50.7942643391521
"10-3","10-3",10,3,0.4,0,-48.2736602052452,-52.4732620320856,-52.4420772303595,-55.0594936708861,-56.566265060241,-69.9690721649485
"10-4","10-4",10,4,0.4,0,-50.3006833712984,-50.2368064952639,-54.1826923076923,-57.3215223097113,-56.1850828729282,-69.1729428172943
"10-5","10-5",10,5,0.1,0,-47.7897727272727,-49.6914893617021,-54.9046283309958,-56.0021834061135,-57.3851540616246,-69.4657933042213
"10-6","10-6",10,6,1,0,-44.2304199772985,-50.9510204081633,-58.8385714285714,-58.1014823261117,-57.4966799468791,-65.0042075736325
"10-7","10-7",10,7,0.7,0,-46.8475540386803,-49.9398395721925,-60.3501483679525,-60.7505966587112,-54.0301783264746,-67.9667110519308
"10-8","10-8",10,8,0.6,0,-44.6401816118048,-54.014745308311,-60.5329512893983,-58.2604166666667,-52.468253968254,-63.9082446808511
"11-3","11-3",11,3,359.9,0,-49.5335608646189,-48.5435356200528,-53.7447108603667,-56.4566326530612,-58.2227074235808,-68.2629310344828
"11-4","11-4",11,4,0.4,0,-51.6325369738339,-51.8233731739708,-54.8767313019391,-54.8497041420118,-59.8502747252747,-70.8623595505618
"11-5","11-5",11,5,0.3,0,-49.1140250855188,-49.2370572207084,-60.4869186046512,-58.0697940503432,-57.9530583214794,-65.8121621621622
"11-6","11-6",11,6,0.1,0,-46.0136518771331,-50.6327608982827,-60.2861230329042,-57.2442839951865,-55.6556671449067,-70.314404432133
"11-7","11-7",11,7,0.7,0,-47.0306818181818,-48.6162162162162,-59.3175074183976,-56.8278388278388,-50.5936639118457,-69.7284122562674
"11-8","11-8",11,8,0.3,0,-47.9069239500568,-50.2061994609164,-60.250347705146,-59.5207100591716,-51.2817824377457,-68.8403693931398
"12-3","12-3",12,3,359.9,0,-51.4073226544622,-46.2873711340206,-52.0085959885387,-58.4748466257669,-58.1744680851064,-68.5380200860832
"12-4","12-4",12,4,0.2,0,-48.3329532497149,-49.8518005540166,-54.2581560283688,-57.6038812785388,-57.2778541953232,-68.1533333333333
"12-5","12-5",12,5,0.7,0,-48.4862700228833,-52.0041493775934,-57.9889042995839,-56.5952109464082,-58.3255172413793,-68.0079787234042
"12-6","12-6",12,6,0.8,0,-50.3474285714286,-50.3206002728513,-61.0559540889527,-57.5979262672811,-56.8194444444444,-70.0934844192635
"12-7","12-7",12,7,0.7,0,-50.2889647326507,-52.1922043010753,-56.6852646638054,-57.1528525296017,-48.3475783475783,-68.0201149425287
"12-8","12-8",12,8,0,0,-49.879271070615,-52.2496662216288,-58.515625,-56.9486552567237,-50.4432576769025,-69.7270114942529
"13-3","13-3",13,3,359.6,0,-50.6685714285714,-49.5694444444444,-52.1315789473684,-57.5134788189987,-57.5028571428571,-69.2852941176471
"13-4","13-4",13,4,0.7,0,-50.3397727272727,-47.6914893617021,-54.5940594059406,-56.10551558753,-58.5301914580265,-68.7432624113475
"13-5","13-5",13,5,0.7,0,-49.0284090909091,-48.3057503506311,-59.2744252873563,-53.8448928121059,-59.5813295615276,-68.7150997150997
"13-6","13-6",13,6,0.1,0,-48.6583427922815,-51.6903137789905,-59.4132581100141,-54.5022624434389,-59.3129346314325,-67.7369863013699
"13-7","13-7",13,7,0.3,0,-46.703071672355,-49.5823863636364,-57.6376404494382,-57.6923076923077,-50.4143049932524,-68.5098039215686
"13-8","13-8",13,8,0,0,-51.5290763968073,-53.3719676549865,-59.5351724137931,-59.5477855477856,-53.1493150684932,-66.383064516129
"14-3","14-3",14,3,0.1,0,-52.3947065592635,-54.9790301441678,-50.0040268456376,-58.8660220994475,-58.6394101876676,-72.8662251655629
"14-7","14-7",14,7,359.9,0,-50.2078071182549,-52.1386962552011,-58.1904761904762,-56.3099337748344,-47.6123287671233,-69.2878787878788
"14-8","14-8",14,8,0.5,0,-50.9795221843003,-47.7670157068063,-57.7540500736377,-57.2896461336828,-52.4152542372881,-68.9869753979739
"15-3","15-3",15,3,0.6,0,-54.6031927023945,-53.9716216216216,-51.0820793433653,-62.0120320855615,-57.7762619372442,-71.3356070941337
"15-7","15-7",15,7,359.8,0,-50.8861047835991,-53.7727910238429,-58.5731707317073,-59.1760104302477,-50.1604426002766,-72.5265363128492
"15-8","15-8",15,8,359.1,0,-50.1829545454545,-53.3222811671088,-58.7686567164179,-56.0125,-50.7490092470277,-70.3092926490985
"16-3","16-3",16,3,0.2,0,-54.9909090909091,-56.5220994475138,-52.4592105263158,-62.9280958721704,-57.5606258148631,-73.4609053497942
"16-7","16-7",16,7,0.4,0,-52.2237442922374,-54.7640603566529,-55.2489568845619,-58.941251596424,-50.5917808219178,-72.3342465753425
"16-8","16-8",16,8,1.5,0,-53.5465909090909,-52.7358490566038,-58.8708661417323,-57.5242346938776,-50.9667590027701,-73.5254491017964
"17-3","17-3",17,3,1,0,-53.1840909090909,-55.3685601056803,-54.7116402116402,-62.2065359477124,-56.1216577540107,-72.4093484419263
"17-7","17-7",17,7,7.9,0,-52.7217787913341,-57.7444751381215,-56.2122448979592,-57.9367741935484,-45.2098273572377,-72.2386363636364
"17-8","17-8",17,8,1.2,0,-53.5647727272727,-54.9573590096286,-54.9531478770132,-59.3435828877005,-51.1135430916553,-74.3686502177068
"18-3","18-3",18,3,0,0,-53.5370581527936,-54.5554106910039,-50.196052631579,-62.2332439678284,-56.9412587412587,-74.3034482758621
"18-7","18-7",18,7,0.4,0,-51.8836944127708,-60.4344827586207,-59.1176470588235,-60.7890625,-48.4837837837838,-71.5367545076283
"18-8","18-8",18,8,1.5,0,-52.2193181818182,-59.3341902313625,-59.132581100141,-60.2850122850123,-51.1232166018158,-75.5155367231638
